gameid,Away,AwayID,Home,HomeID
605,OTTAWA,20,COLORADO,9
606,WINNIPEG,14,ARIZONA,5
607,FLORIDA,18,VANCOUVER,7
608,NY RANGERS,27,LOS ANGELES,4
609,NY ISLANDERS,26,NEW JERSEY,25
610,COLUMBUS,24,TORONTO,22
611,BUFFALO,16,TAMPA BAY,21
612,FLORIDA,18,CALGARY,2
613,CHICAGO,8,EDMONTON,3
614,BOSTON,15,PHILADELPHIA,28
615,NASHVILLE,12,MINNESOTA,11
616,DALLAS,10,COLORADO,9
617,PITTSBURGH,29,MONTREAL,19
618,DETROIT,17,WASHINGTON,30
619,NY ISLANDERS,26,COLUMBUS,24
620,OTTAWA,20,ARIZONA,5
621,CAROLINA,23,ST. LOUIS,13
622,CALGARY,2,VANCOUVER,7
623,WINNIPEG,14,LOS ANGELES,4
624,NY RANGERS,27,SAN JOSE,6
625,FLORIDA,18,EDMONTON,3
626,MINNESOTA,11,CHICAGO,8
627,WINNIPEG,14,ANAHEIM,1
628,TAMPA BAY,21,PHILADELPHIA,28
629,COLORADO,9,WASHINGTON,30
630,TORONTO,22,LOS ANGELES,4
631,TAMPA BAY,21,BOSTON,15
632,DETROIT,17,BUFFALO,16
633,NY ISLANDERS,26,NY RANGERS,27
634,MINNESOTA,11,PITTSBURGH,29
635,COLORADO,9,CAROLINA,23
636,EDMONTON,3,ST. LOUIS,13
637,VANCOUVER,7,NASHVILLE,12
638,FLORIDA,18,WINNIPEG,14
639,OTTAWA,20,DALLAS,10
640,SAN JOSE,6,ARIZONA,5
641,MONTREAL,19,COLUMBUS,24
642,PHILADELPHIA,28,WASHINGTON,30
643,TORONTO,22,ANAHEIM,1
644,NEW JERSEY,25,LOS ANGELES,4
645,NY RANGERS,27,BOSTON,15
646,MINNESOTA,11,BUFFALO,16
647,VANCOUVER,7,PHILADELPHIA,28
648,MONTREAL,19,OTTAWA,20
649,EDMONTON,3,TAMPA BAY,21
650,COLORADO,9,FLORIDA,18
651,DETROIT,17,ST. LOUIS,13
652,WINNIPEG,14,DALLAS,10
653,CALGARY,2,ARIZONA,5
654,TORONTO,22,SAN JOSE,6
655,PITTSBURGH,29,NY ISLANDERS,26
656,VANCOUVER,7,CAROLINA,23
657,NY RANGERS,27,COLUMBUS,24
658,WASHINGTON,30,NASHVILLE,12
659,WINNIPEG,14,CHICAGO,8
660,NEW JERSEY,25,ANAHEIM,1
661,COLUMBUS,24,BOSTON,15
662,PHILADELPHIA,28,BUFFALO,16
663,NY ISLANDERS,26,MONTREAL,19
664,CAROLINA,23,OTTAWA,20
665,NASHVILLE,12,DETROIT,17
666,COLORADO,9,TAMPA BAY,21
667,EDMONTON,3,FLORIDA,18
668,TORONTO,22,ST. LOUIS,13
669,WASHINGTON,30,DALLAS,10
670,ARIZONA,5,MINNESOTA,11
671,ANAHEIM,1,LOS ANGELES,4
672,CALGARY,2,SAN JOSE,6
673,NY RANGERS,27,PITTSBURGH,29
674,DALLAS,10,CHICAGO,8
675,ARIZONA,5,WINNIPEG,14
676,BUFFALO,16,DETROIT,17
677,PHILADELPHIA,28,NY ISLANDERS,26
678,CAROLINA,23,TORONTO,22
679,VANCOUVER,7,FLORIDA,18
680,COLORADO,9,ST. LOUIS,13
681,COLUMBUS,24,MINNESOTA,11
682,CALGARY,2,LOS ANGELES,4
